Gecode,Chuffed Ordered,Chuffed FS,Chuffed FS + RS 5000,Chuffed FS + RS 100,Instance
0.38123106956481934,0.16508698463439941,0.1640808582305908,0.164590835571289,0.16403627395629883,1.0
0.3271150588989258,0.16337370872497559,0.1572608947753906,0.1629450321197509,0.16723418235778809,2.0
0.3286581039428711,0.16607999801635742,0.1628890037536621,0.1644859313964843,0.1724097728729248,3.0
0.3158688545227051,0.1666581630706787,0.1617531776428222,0.1727139949798584,0.16373395919799805,4.0
0.33379316329956055,0.16997575759887695,0.1624069213867187,0.1732008457183838,0.16750407218933105,5.0
0.3229093551635742,0.16530609130859375,0.1735479831695556,0.1700789928436279,0.16862916946411133,6.0
0.32375597953796387,0.1695091724395752,0.1647369861602783,0.1714999675750732,0.16782212257385254,7.0
0.32999515533447266,0.1724390983581543,0.1678619384765625,0.1742100715637207,0.17447924613952637,8.0
0.3356008529663086,0.17047810554504395,0.1685707569122314,0.1724889278411865,0.17444872856140137,9.0
0.3242650032043457,0.17333698272705078,0.1739759445190429,0.1770579814910888,0.17642593383789062,10.0
TIMEOUT,9.286595106124878,0.1834900379180908,0.1930921077728271,0.18696212768554688,11.0
0.3355240821838379,0.18242192268371582,0.2776079177856445,0.3933107852935791,0.26358580589294434,12.0
0.34450793266296387,0.18331408500671387,0.2580132484436035,0.544135332107544,0.2658419609069824,13.0
0.38565492630004883,0.1849501132965088,0.3020710945129394,0.591947078704834,0.28116798400878906,14.0
0.37711310386657715,0.18918704986572266,0.1839058399200439,0.1892509460449218,0.1929306983947754,15.0
TIMEOUT,58.36156702041626,1.2919716835021973,2.617676019668579,0.5995471477508545,16.0
TIMEOUT,0.1996910572052002,0.4598770141601562,0.8674030303955078,0.4562039375305176,17.0
TIMEOUT,0.2015061378479004,0.7536990642547607,0.996319055557251,0.551347017288208,18.0
TIMEOUT,1.0465269088745117,1.335747003555298,2.4399218559265137,1.6704981327056885,19.0
TIMEOUT,0.24225687980651855,1.2937240600585938,1.0390021800994873,1.5679049491882324,20.0
TIMEOUT,6.0989768505096436,0.8976168632507324,2.2815911769866943,1.1984858512878418,21.0
TIMEOUT,0.24338889122009277,5.130207061767578,9.334371089935305,1.107696294784546,22.0
TIMEOUT,4.768711805343628,0.7273159027099609,0.9651591777801514,0.9821381568908691,23.0
TIMEOUT,0.26236391067504883,0.5186402797698975,0.9125020503997804,0.5581908226013184,24.0
TIMEOUT,139.836590051651,10.460286140441896,21.64990186691284,145.3969521522522,25.0
TIMEOUT,0.22227787971496582,1.526759147644043,5.604343891143799,3.356431245803833,26.0
TIMEOUT,0.7699480056762695,0.7267251014709473,2.081465005874634,0.9342141151428223,27.0
TIMEOUT,0.21827197074890137,1.2392640113830566,2.280214071273804,0.7542769908905029,28.0
TIMEOUT,0.3172111511230469,1.2930529117584229,4.447009086608887,1.1375598907470703,29.0
TIMEOUT,TIMEOUT,5.628938913345337,45.690997838974,59.209957122802734,30.0
TIMEOUT,165.4828863143921,0.8716161251068115,1.0712976455688477,0.5048677921295166,31.0
TIMEOUT,TIMEOUT,181.5286440849304,111.45194911956789,6.58657693862915,32.0
TIMEOUT,TIMEOUT,0.7540478706359863,2.622037887573242,0.5905070304870605,33.0
TIMEOUT,TIMEOUT,2.815682888031006,1.091186285018921,0.9891269207000732,34.0
TIMEOUT,TIMEOUT,0.7458319664001465,2.399953365325928,0.6809608936309814,35.0
TIMEOUT,TIMEOUT,1.117500066757202,7.833233118057251,1.0115761756896973,36.0
TIMEOUT,TIMEOUT,6.582142353057861,25.10451102256775,3.8331961631774902,37.0
TIMEOUT,TIMEOUT,50.54297113418579,10.807415008544922,127.55701684951782,38.0
TIMEOUT,TIMEOUT,13.213340044021606,7.241243839263916,17.448214769363403,39.0
TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,40.0