Instance,h_min,MIP w/out SB w/out R,MIP + SB w/out R,MIP w/out SB + R,MIP + SB + R
1,8,8,8,8,8
2,9,9,9,9,9
3,10,10,10,10,10
4,11,11,11,11,11
5,12,12,12,12,12
6,13,13,13,13,13
7,14,14,14,14,14
8,15,15,15,15,15
9,16,16,16,16,16
10,17,17,17,17,17
11,18,18,18,18,18
12,19,19,19,19,19
13,20,20,20,20,20
14,21,21,21,21,21
15,22,22,22,22,22
16,23,23,23,23,23
17,24,24,24,24,24
18,25,25,25,25,26
19,26,26,26,26,27
20,27,27,27,28,28
21,28,28,28,29,29
22,29,29,29,30,30
23,30,30,30,31,31
24,31,31,31,31,31
25,32,33,33,33,33
26,33,33,33,33,33
27,34,34,34,34,34
28,35,35,35,36,35
29,36,36,36,36,36
30,37,37,37,38,38
31,38,38,38,38,38
32,39,40,40,40,40
33,40,40,40,40,40
34,40,40,40,40,40
35,40,40,41,41,40
36,40,40,40,41,40
37,60,63,62,62,61
38,60,62,62,62,61
39,60,61,61,61,61
40,90,99,99,100,100